category,Name,nickname,article link,source,Main sources for the website list
news,The Independent,tin0,https://www.the-independent.com/life-style/wealth-gap-summer-economy-advice-b2759563.html,https://www.independent.co.uk/us,
news, Sky News,skn0,https://news.sky.com/story/inquiry-into-uks-role-in-1984-golden-temple-massacre-under-consideration-13377517,https://news.sky.com/,
news,DailyMail,dam0,https://www.dailymail.co.uk/news/article-14765537/unsolved-murder-cheryl-williams-frady-budweiser-shot-dead-suspect-identified-police.html,https://www.dailymail.co.uk/ushome/index.html,
news,Hindusthan times,hit0,https://www.hindustantimes.com/world-news/trump-says-russia-putin-ukraine-zelensky-to-immediately-start-negotiations-on-ceasefire-101747676553908.html,https://www.hindustantimes.com/,
news,NPR,npr0,https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,https://www.npr.org/,
news,India today,int0,https://www.indiatoday.in/india/story/india-pakistan-tension-indus-water-treaty-shehbaz-sharif-tajikistan-conference-on-pahalgam-attack-operation-sindoor-kirti-vardhan-singh-2733827-2025-06-01,https://www.indiatoday.in/,
news,AP news,apn0,https://apnews.com/article/allen-steinfeld-wedding-bills-7d152f7f490a3d8ee28d6031bf02b3a0,https://www.apnews.com/,
news,The wall street journal,wsj0,https://www.wsj.com/opinion/imagine-spending-all-weekend-listening-to-progressive-activists-3577309a?mod=hp_opin_pos_3,https://www.wsj.com/,
news,cspan,csp0,https://www.c-span.org/liveEvent/?senate-on-tv,https://www.c-span.org/,
tech news,Tech Crunch,tcr0,https://techcrunch.com/2025/05/19/billionaire-founder-of-luminar-replaced-as-ceo-following-ethics-inquiry/,https://techcrunch.com/,
tech news,wired,wir0,https://www.wired.com/gallery/best-eero-wi-fi-mesh-router/,https://www.wired.com/,
tech news,gizmodo,giz0,https://gizmodo.com/stranger-things-season-5-release-date-trailer-netflix-2000609596,https://gizmodo.com/,
tech news,Engadget,eng0,https://www.engadget.com/gaming/playdate-season-2-review-fulcrum-defender-dig-dig-dino-and-blippo-140036697.html,https://www.engadget.com/,
tech news,The Next Web,tnw0,https://thenextweb.com/news/new-exoskeleton-for-humans-comes-with-ai-brain-muscle-memory,https://thenextweb.com/,
tech news,CNET,cnet0,https://www.cnet.com/tech/services-and-software/best-vpn/,https://www.cnet.com/tech/gaming/elden-ring-nightreign-director-interview-if-he-can-solo-every-boss-so-can-you/,
tech news,Android Authority,aau0,https://www.androidauthority.com/phone-link-panel-windows-start-menu-3558774/,,
tech news,The Verge,tvg0,https://www.theverge.com/news/669304/google-io-2025-how-to-watch-expect-livestream-ai-android-xr,,
tech news,Tech News World,tnw0,https://www.technewsworld.com/story/waymo-builds-arizona-factory-to-grow-robotaxi-fleet-179727.html,,
tech news,Business Insider,bui0,https://www.businessinsider.com/companies-are-struggling-to-fill-existing-manufacturing-positions-2025-5,https://www.businessinsider.com/,
tech news,Tech Radar,ter0,https://www.techradar.com/health-fitness/smartwatches/we-may-have-some-information-on-incoming-smartwatches-from-android-phone-and-tablet-maker-hmd,https://www.techradar.com/,
tech news,9to5Mac,mac0,https://9to5mac.com/2025/05/29/when-are-new-macs-coming/,https://9to5mac.com/,
tech news,Mac Rumours,mru0,https://www.macrumors.com/2025/06/01/m3-ipad-air-amazon-499/,https://www.macrumors.com/,
tech news,PC World,pcw0,https://www.pcworld.com/article/2787813/this-neat-trick-instantly-reveals-if-a-battery-is-charged-or-dead.html,https://www.pcworld.com/,
tech news,Ars Technica,ars0,https://arstechnica.com/ai/2025/05/real-tiktokers-are-pretending-to-be-veo-3-ai-creations-for-fun-attention/,https://arstechnica.com/,
tech news,Digital Trends,dit0,https://www.digitaltrends.com/gaming/nyt-mini-crossword-answers-june-1/,https://www.digitaltrends.com/,
tech news,Computer World,cow0,https://www.computerworld.com/article/3997252/ai-and-economic-pressures-reshape-tech-jobs-amid-layoffs.html,https://www.computerworld.com/,
food,Food Dive,fod0,https://www.fooddive.com/news/dole-picks-ex-del-monte-exec-todd-stillwell-supply-chain-vp/749062/,https://www.fooddive.com/,
food,Food Safety News,fsn0,https://www.foodsafetynews.com/2025/05/publix-recalls-baby-food-because-of-lead-contamination/,https://www.foodsafetynews.com/#google_vignette,
food,Just Food ,Juf0,https://www.just-food.com/news/jbs-to-invest-135m-in-new-us-sausage-plant-creating-500-jobs/,https://www.just-food.com/,
food,Eater,eat0,https://www.eater.com/2025/5/29/24439456/nordstrom-momofuku-rei-goldbelly-sale,https://www.eater.com/,
food,New Food Magazine,nfm0,https://www.newfoodmagazine.com/news/251729/pfas-free-food-packaging-coating-developed-from-graphene-oxide/,https://news.feedspot.com/food_news_websites/,
food,Food Industry Executive,fie0,https://foodindustryexecutive.com/2025/05/how-energy-recovery-is-powering-sustainable-food-production/,https://foodindustryexecutive.com/,
food,Australian Food News,afn0,https://www.ausfoodnews.com.au/2021/03/25/bistro-guillaume-launches-limited-time-hot-cross-buns.html,https://www.ausfoodnews.com.au/,
food,F&B News,fbn0,http://www.fnbnews.com/Top-News/how-india-doubled-its-food-processing-market-in-a-decade-82871,http://www.fnbnews.com/,
